Incident-id,Date(dd/mm/yr),Animal,village,District,State,Victim age,Victim outcome,Incident details,Source url,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,lat,lon,elevation,dist_water,dist_forest,dist_village
238,23/04/23,Tiger,sahen khera,kheri,Uttar pradesh,18yr,Dead,He was mauled to death by the animal,"UP Tiger Attack: Sixth tiger attack in UP's Lakhimpur Kheri in 22 days; farmer, 45, critical | Bareilly News - Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.956484304805322,80.75138251649953,592,1465,246,1122
241,24/11/23,Tiger,balluru hundi,mysuru,Karnataka,50yr,Dead,He was attacked by a tiger,Tiger devours man in Bandipur reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.326747026307537,76.59716449397263,406,1208,1099,395
243,31/10/23,Tiger,hullahalli,mysuru,Karnataka,55yr,Dead,He was attacked by a tiger,Tiger devours man in Bandipur reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.294947568419447,76.5998411173484,214,1268,153,1048
248,13/02/23,Tiger,hulikal,kodagu,Karnataka,70yr,Dead,He had stepped out of his home when he was attacked,"Man, grandson killed within 12 hours in separate tiger attacks in Kodagu district of Karnataka - The Hindu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.394317648312635,75.72788961070052,753,450,1458,947
249,12-02-23,Tiger,hulikal,kodagu,Karnataka,18yr,Dead,He was attacked by a tiger,Tiger that had claimed 2 lives captured in Kodagu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.392654369211613,75.77881108536889,660,689,996,890
254,09-10-25,Elephant,rampur,korba,Chhattisgarh,58yr,Dead,He  man was trampled to death by a herd of wild elephants ,Elephants Trample 58-Year-Old Man To Death In Chhattisgarh's Korba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.304414500553232,82.72963849535543,774,2785,1109,1492
262,01-12-22,leopard,narasipura,mysuru,Karnataka,22yr,Dead,She was killed by a leopard,"Karnataka: Despite Reports of Man-Animal Conflict, Govt Struggles for Solutions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.32706335621361,76.65055125761617,440,509,696,1507
266,03-11-25,leopard,shirur,pune,Maharastra,13yr,Dead,The leopard was hiding in a sugarcane field and attacked the boy while he was playing,"Pune: 13-year-old killed in leopard attack; villagers torch forest department office, block highway | Maharashtra News  India TV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.554086261078552,73.8091378648059,763,1004,1308,1588
267,25/04/25,leopard,vanarwadi,Nashik,Maharastra,20yr,Dead,She had gone to cut fodder for the cattle near her familys settlement when the leopard attacked,Nashik: 20-Year-Old Woman Killed in Leopard Attack in Dindori Taluka - www.lokmattimes.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.999840080642954,73.74112953191586,295,519,1243,1174
269,06-11-23,leopard,valparai,coimbatore,Tamil nadu,7yr,injured,The boy was attacked by a leopard,Leopard mauls seven-year-old boy at Valparai - The Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.971114007831684,76.92749175109934,684,1095,1092,1167
